Exercise,Difficulty Level,Target Muscle Group,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment
Stability Ball Dead Bug,Beginner,Abdominals,Rectus Abdominis,,,Stability Ball
Bodyweight Glute Bridge,Beginner,Glutes,Gluteus Maximus,,,Bodyweight
Bodyweight Bird Dog,Beginner,Abdominals,Rectus Abdominis,,,Bodyweight
Stability Ball Russian Twist,Beginner,Abdominals,Obliques,Rectus Abdominis,,Stability Ball
Stability Ball Feet Elevated Crunch,Beginner,Abdominals,Rectus Abdominis,,,Stability Ball
Ring Hanging Knee Raise,Intermediate,Abdominals,Rectus Abdominis,Iliopsoas,Rectus Femoris,Gymnastic Rings
Parallette Mountain Climber,Novice,Abdominals,Rectus Abdominis,,,Parallette Bars
Parallette Push Up,Novice,Chest,Pectoralis Major,Triceps Brachii,,Parallette Bars
Bodyweight Knee Hover Bird Dog,Intermediate,Abdominals,Rectus Abdominis,,,Bodyweight
Stability Ball V Up Pass,Novice,Abdominals,Rectus Abdominis,,,Stability Ball
Bodyweight Dead Bug,Beginner,Abdominals,Rectus Abdominis,,,Bodyweight
Bodyweight Alternating Heel Taps,Beginner,Abdominals,Obliques,Rectus Abdominis,,Bodyweight
Bodyweight Flutter Kicks,Beginner,Abdominals,Rectus Abdominis,,,Bodyweight
Bodyweight Kneeling Forearm Plank,Beginner,Abdominals,Rectus Abdominis,,,Bodyweight
Bodyweight Seated Ab Circles,Novice,Abdominals,Rectus Abdominis,,,Bodyweight
Ring Hanging Oblique Knee Raise,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Gymnastic Rings
Stability Ball Stir The Pot,Novice,Abdominals,Rectus Abdominis,,,Stability Ball
Bodyweight Alternating Side Kick Through,Intermediate,Abdominals,Rectus Abdominis,,,Bodyweight
Ring L Sit Hang Flutter Kicks,Intermediate,Abdominals,Rectus Abdominis,,,Gymnastic Rings
Slam Ball Russian Twist,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Slam Ball
Dumbbell Otis Up,Novice,Abdominals,Rectus Abdominis,,,Dumbbell
Single Arm Dumbbell Side Plank Reach Through,Advanced,Abdominals,Obliques,Rectus Abdominis,,Dumbbell
Ab Wheel Kneeling Rollout,Novice,Abdominals,Rectus Abdominis,,,Ab Wheel
Cable Seated Crunch,Novice,Abdominals,Rectus Abdominis,,,Cable
Cable Kneeling Crunch,Novice,Abdominals,Rectus Abdominis,,,Cable
Medicine Ball V Up,Novice,Abdominals,Rectus Abdominis,,,Medicine Ball
Suspension Knee Tuck,Novice,Abdominals,Rectus Abdominis,,,Suspension Trainer
Suspension Lateral Knee Tuck,Intermediate,Abdominals,Rectus Abdominis,,,Suspension Trainer
Bodyweight Push Up to Alternating Kick Through,Intermediate,Chest,Pectoralis Major,Rectus Abdominis,,Bodyweight
Single Arm Dumbbell Turkish Get Up,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Dumbbell
Bodyweight Bear Crawl,Novice,Abdominals,Rectus Abdominis,,,Bodyweight
Stability Ball Knee Tuck,Novice,Abdominals,Rectus Abdominis,,,Stability Ball
Ring Hanging Leg Raise,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings
Parallette L Sit,Advanced,Abdominals,Rectus Abdominis,,,Parallette Bars
Bodyweight Standing Walkout Plank,Intermediate,Abdominals,Rectus Abdominis,,,Bodyweight
Bodyweight Standing Walkout Push Up,Intermediate,Chest,Pectoralis Major,Rectus Abdominis,,Bodyweight
Barbell Climb,Expert,Abdominals,Rectus Abdominis,,,Barbell
Bodyweight Ipsilateral Bird Dog,Expert,Abdominals,Rectus Abdominis,,,Bodyweight
Bodyweight Copenhagen Plank Knee to Elbow,Advanced,Adductors,Adductor Magnus,,,Bodyweight
Ring Dead Hang,Beginner,Back,Latissimus Dorsi,,,Gymnastic Rings
Suspension Archer Row,Novice,Shoulders,Posterior Deltoids,,,Suspension Trainer
Ring Eccentric Pull Up,Novice,Back,Latissimus Dorsi,,,Gymnastic Rings
Ring Pull Up,Intermediate,Back,Latissimus Dorsi,,,Gymnastic Rings
Ring Eccentric Chin Up,Novice,Biceps,Biceps Brachii,Latissimus Dorsi,,Gymnastic Rings
Miniband Fire Hydrant,Beginner,Glutes,Gluteus Maximus,Gluteus Medius,Gluteus Minimus,Miniband
Medicine Ball Russian Twist,Novice,Abdominals,Obliques,Rectus Abdominis,,Medicine Ball
Bodyweight Side Plank,Novice,Abdominals,Obliques,Rectus Abdominis,,Bodyweight
Cable Reverse Crunch,Intermediate,Abdominals,Rectus Abdominis,,,Cable
Cable Rope Half Kneeling High to Low Chop,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Cable
Cable Rope Half Kneeling Low to High Chop,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Cable
Slider Double Kettlebell Bottoms Up Overhead Lateral Lunge,Advanced,Adductors,Adductor Magnus,,,Sliders
Cable Rope Staggered Stance High to Low Chop,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Cable
Cable Rope Staggered Stance Low to High Chop,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Cable
Single Arm Dumbbell Windmill,Intermediate,Abdominals,Obliques,,,Dumbbell
Slider Double Kettlebell Bottoms Up Front Rack Lateral Lunge,Intermediate,Adductors,Adductor Magnus,,,Sliders
Slider Double Kettlebell Front Rack Lateral Lunge,Novice,Adductors,Adductor Magnus,,,Sliders
Bodyweight Feet On Wall Mountain Climber,Advanced,Abdominals,Rectus Abdominis,,,Bodyweight
Slider Double Kettlebell Suitcase Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders
Bodyweight Hollow Body Hold,Novice,Abdominals,Rectus Abdominis,,,Bodyweight
Dumbbell Crush Grip Hollow Body Hold,Intermediate,Abdominals,Rectus Abdominis,,,Dumbbell
Bar Inverted Hanging Crunch,Expert,Abdominals,Rectus Abdominis,,,Pull Up Bar
Bodyweight Inverted Hanging Oblique Crunch,Expert,Abdominals,Obliques,,,Bodyweight
Slider Double Kettlebell Front Rack Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders
Bodyweight Supine Alternating Single Leg Raise,Beginner,Abdominals,Rectus Abdominis,,,Bodyweight
Bodyweight Supine Leg Raise,Novice,Abdominals,Rectus Abdominis,,,Bodyweight
Miniband Bicycle Crunch,Novice,Abdominals,Obliques,Rectus Abdominis,,Miniband
Bodyweight Side Plank Reach Through,Novice,Abdominals,Obliques,Rectus Abdominis,,Bodyweight
Bodyweight Sit Up,Novice,Abdominals,Rectus Abdominis,,,Bodyweight
Bodyweight Butterfly Sit Up,Intermediate,Abdominals,Rectus Abdominis,,,Bodyweight
Slider Mountain Climber,Novice,Abdominals,Rectus Abdominis,,,Sliders
Slider Pike,Advanced,Abdominals,Rectus Abdominis,,,Sliders
Stability Ball Pike,Advanced,Abdominals,Rectus Abdominis,,,Stability Ball
Slider Wide Mountain Climber,Intermediate,Abdominals,Rectus Abdominis,,,Sliders
Stability Ball Crunch,Beginner,Abdominals,Rectus Abdominis,,,Stability Ball
Stability Ball Feet Elevated Oblique Crunch,Beginner,Abdominals,Obliques,,,Stability Ball
Stability Ball Kneeling Rollout,Beginner,Abdominals,Rectus Abdominis,,,Stability Ball
Stability Ball Single Leg Knee Tuck,Advanced,Abdominals,Rectus Abdominis,,,Stability Ball
Stability Ball Single Leg Pike,Expert,Abdominals,Rectus Abdominis,,,Stability Ball
Parallette Kneeling Push Up,Beginner,Chest,Pectoralis Major,,,Parallette Bars
Slider Double Kettlebell Overhead Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders
Double Dumbbell Romanian Deadlift,Beginner,Hamstrings,Biceps Femoris,Gluteus Maximus,,Dumbbell
Single Arm Dumbbell Side Plank,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Dumbbell
Bodyweight Single Leg Glute Bridge,Novice,Glutes,Gluteus Maximus,,,Bodyweight
Dumbbell Glute Bridge,Beginner,Glutes,Gluteus Maximus,,,Dumbbell
Bodyweight Glute Bridge Isometric with Alternating Single Leg Extension,Beginner,Glutes,Gluteus Maximus,,,Bodyweight
Miniband Side Lying Clamshell,Beginner,Glutes,Gluteus Maximus,Gluteus Medius,Gluteus Minimus,Miniband
Miniband Ankle Side Lying Hip Abduction,Beginner,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband
Miniband Bench Seated Hip Abduction,Beginner,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband
Miniband Glute Bridge with Hip Abduction,Beginner,Glutes,Gluteus Maximus,Gluteus Medius,,Miniband
Stability Ball Hip Thrust,Beginner,Glutes,Gluteus Maximus,,,Stability Ball
Stability Ball Dumbbell Hip Thrust,Beginner,Glutes,Gluteus Maximus,,,Stability Ball
Bodyweight Frog Pump,Beginner,Glutes,Gluteus Maximus,,,Bodyweight
Dumbbell Frog Pump,Beginner,Glutes,Gluteus Maximus,,,Dumbbell
Cable Glute Kickback,Novice,Glutes,Gluteus Maximus,,,Cable
Bodyweight Single Leg Foot Elevated Glute Bridge,Novice,Glutes,Gluteus Maximus,,,Bodyweight
Suspension Feet Elevated Glute Bridge,Novice,Glutes,Gluteus Maximus,,,Suspension Trainer
Miniband Thigh Lateral Walk,Beginner,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband
Miniband Ankle Lateral Walk,Novice,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband
Miniband Feet Lateral Walk,Intermediate,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband
Miniband Standing Glute Kickback,Novice,Glutes,Gluteus Maximus,,,Miniband
Barbell Hip Thrust,Novice,Glutes,Gluteus Maximus,,,Barbell
Barbell Single Leg Hip Thrust,Intermediate,Glutes,Gluteus Maximus,,,Barbell
Stability Ball Single Leg Foot Elevated Glute Bridge,Intermediate,Glutes,Gluteus Maximus,,,Stability Ball
Miniband Standing Hip Abduction,Novice,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband
Miniband 3-Way Cha Cha,Beginner,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband
Slider Single Arm Kettlebell Suitcase Contralateral Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders
Cable Hip Abduction,Novice,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Cable
Miniband Wall Sit Hip Abduction,Novice,Quadriceps,Quadriceps Femoris,Gluteus Medius,,Miniband
Slider Barbell Overhead Lateral Lunge,Advanced,Adductors,Adductor Magnus,,,Sliders
Stability Ball T's Y's I's,Beginner,Shoulders,Posterior Deltoids,,,Stability Ball
Resistance Band Reverse Fly,Beginner,Shoulders,Posterior Deltoids,,,Resistance Band
Resistance Band Lateral Raise,Beginner,Shoulders,Medial Deltoids,,,Resistance Band
Double Dumbbell Lateral Raise,Beginner,Shoulders,Medial Deltoids,,,Dumbbell
Single Arm Resistance Band Standing Shoulder External Rotation,Beginner,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Resistance Band
Double Dumbbell Seated Lateral Raise,Beginner,Shoulders,Medial Deltoids,,,Dumbbell
Bodyweight Pike Push Up,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Bodyweight
Single Arm Dumbbell Side Lying Shoulder External Rotation,Beginner,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Dumbbell
Single Arm Dumbbell Seated Shoulder External Rotation,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Dumbbell
Miniband Standing Shoulder External Rotation,Beginner,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Miniband
Double Dumbbell Seated Cuban Rotation,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Dumbbell
Double Dumbbell Standing Cuban Rotation,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Dumbbell
Single Arm Cable Half Kneeling Contralateral Shoulder External Rotation 90 Degrees,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Cable
Single Arm Dumbbell Side Lying Shoulder Internal Rotation,Beginner,Shoulders,Subscapularis,Teres Major,,Dumbbell
Parallette Feet Elevated Pike Push Up,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Parallette Bars
Barbell Thruster,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Barbell
Parallette Wall Supported Handstand Push Up,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Parallette Bars
Barbell Sots Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell
Single Arm Dumbbell V Sit Overhead Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Dumbbell
Double Dumbbell Z Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell
Single Arm Dumbbell Z Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell
Stability Ball Double Dumbbell Seated Arnold Press,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,,Stability Ball
Single Arm Dumbbell Half Kneeling Contralateral Overhead Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Dumbbell
Single Arm Cable Lateral Raise,Beginner,Shoulders,Medial Deltoids,,,Cable
Double Dumbbell Thruster,Novice,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Dumbbell
Single Arm Dumbbell Thruster,Novice,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Dumbbell
Parallette Freestanding Handstand Push Up,Master,Shoulders,Anterior Deltoids,Triceps Brachii,,Parallette Bars
Double Dumbbell Seated Overhead Press,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell
Double Dumbbell Overhead Press,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell
Single Arm Dumbbell Overhead Carry,Intermediate,Shoulders,Anterior Deltoids,Obliques,,Dumbbell
Bodyweight Freestanding Handstand Push Up,Master,Shoulders,Anterior Deltoids,Triceps Brachii,,Bodyweight
Barbell Shrug,Novice,Trapezius,Upper Trapezius,,,Barbell
Double Dumbbell Shrug,Beginner,Trapezius,Upper Trapezius,,,Dumbbell
Cable Face Pull,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Cable
Cable Seated Face Pull,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Cable
Double Dumbbell Standing Scaption,Beginner,Shoulders,Serratus Anterior,,,Dumbbell
Double Dumbbell Seated Scaption,Beginner,Shoulders,Serratus Anterior,,,Dumbbell
Stability Ball Double Dumbbell Seated Scaption,Beginner,Shoulders,Serratus Anterior,,,Stability Ball
Cable Single Leg Standing Bent Knee Hip External Rotation,Novice,Glutes,Gluteus Maximus,Gluteus Medius,Gluteus Minimus,Cable
Cable Hip External Rotation,Novice,Glutes,Gluteus Maximus,Gluteus Medius,Gluteus Minimus,Cable
Alternating Double Dumbbell Bicep Curl,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell
Alternating Double Dumbbell Incline Bench Bicep Curl,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell
Alternating Double Dumbbell Hammer Curl,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell
Alternating Double Dumbbell Cross Body Hammer Curl,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell
Cable Guillotine Curl,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Cable
Cable Supine Bicep Curl,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Cable
Single Arm Dumbbell Incline Bench Preacher Curl,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell
Dumbbell Crush Grip Bicep Curl,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell
Double Dumbbell Zottman Curl,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell
Dumbbell Waiter Curl,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell
High Cable Straight Bar Bicep Curl,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Cable
Cable Straight Bar Drag Curl,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Cable
Double Dumbbell Spider Curl,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell
EZ Bar Spider Curl,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,EZ Bar
Parallette Side Plank,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Parallette Bars
Parallette Feet Elevated Push Up,Intermediate,Chest,Pectoralis Major,Triceps Brachii,,Parallette Bars
Stability Ball Cable Preacher Curl,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Stability Ball
Single Arm Dumbbell Standing Concentration Curl,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell
Reverse Barbell Curl,Novice,Forearms,Brachioradialis,Biceps Brachii,Brachialis,Barbell
EZ Bar Wide Grip Bicep Curl,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,EZ Bar
Cable Rope Hammer Curl,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Cable
Single Arm Cable Standing High Bicep Curl,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Cable
Suspension Bicep Curl,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Suspension Trainer
Double Dumbbell Tricep Kickback,Beginner,Triceps,Triceps Brachii,,,Dumbbell
EZ Bar Seated Overhead Tricep Extension,Novice,Triceps,Triceps Brachii,,,EZ Bar
EZ Bar Standing Overhead Tricep Extension,Novice,Triceps,Triceps Brachii,,,EZ Bar
Dumbbell Seated Overhead Tricep Extension,Beginner,Triceps,Triceps Brachii,,,Dumbbell
Dumbbell Overhead Tricep Extension,Beginner,Triceps,Triceps Brachii,,,Dumbbell
Bodyweight Diamond Push Up,Novice,Triceps,Triceps Brachii,Pectoralis Major,Anterior Deltoids,Bodyweight
Double Dumbbell Close Grip Floor Press,Beginner,Triceps,Triceps Brachii,Pectoralis Major,Anterior Deltoids,Dumbbell
Double Dumbbell Close Grip Bench Press,Beginner,Triceps,Triceps Brachii,Pectoralis Major,Anterior Deltoids,Dumbbell
Double Dumbbell Close Grip Incline Bench Press,Beginner,Triceps,Triceps Brachii,Pectoralis Major,Anterior Deltoids,Dumbbell
EZ Bar Lying Tricep Extension,Novice,Triceps,Triceps Brachii,,,EZ Bar
Stability Ball Feet Elevated Diamond Push Up,Intermediate,Triceps,Triceps Brachii,Pectoralis Major,Anterior Deltoids,Stability Ball
Bodyweight Tricep Extension,Intermediate,Triceps,Triceps Brachii,,,Bodyweight
Cable Rope Overhead Tricep Extension,Novice,Triceps,Triceps Brachii,,,Cable
Cable Rope Tricep Pushdown,Beginner,Triceps,Triceps Brachii,,,Cable
Ring Dips,Advanced,Triceps,Triceps Brachii,Rectus Abdominis,,Gymnastic Rings
Single Arm Cable Reverse Grip Tricep Pushdown,Novice,Triceps,Triceps Brachii,,,Cable
Double Dumbbell Suitcase Carry,Beginner,Forearms,Brachioradialis,,,Dumbbell
Barbell Seated Wrist Curl,Intermediate,Forearms,Brachioradialis,,,Barbell
EZ Bar Reverse Grip Bicep Curl,Novice,Forearms,Brachioradialis,Biceps Brachii,Brachialis,EZ Bar
Barbell Incline Push Up,Beginner,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Barbell
Bodyweight Kneeling Push Up,Beginner,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Bodyweight
Suspension Push Up,Beginner,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Suspension Trainer
Suspension Chest Fly,Beginner,Chest,Pectoralis Major,,,Suspension Trainer
Double Dumbbell Glute Bridge Isometric Floor Press,Novice,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Dumbbell
Stability Ball Single Arm Dumbbell Chest Press,Novice,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Dumbbell
Stability Ball Double Dumbbell Chest Fly,Beginner,Chest,Pectoralis Major,,,Stability Ball
Bodyweight Burpee,Intermediate,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Bodyweight
Double Dumbbell Devil Press,Advanced,Shoulders,Anterior Deltoids,Pectoralis Major,,Dumbbell
Alternating Single Arm Dumbbell Devil Press,Advanced,Shoulders,Anterior Deltoids,Pectoralis Major,,Dumbbell
Single Arm Dumbbell Hollow Body Chest Press,Intermediate,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Dumbbell
Bodyweight Plate Plyometric Push Up,Intermediate,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Bodyweight
Stability Ball Dumbbell Pullover,Beginner,Back,Latissimus Dorsi,Pectoralis Major,Triceps Brachii,Stability Ball
Double Dumbbell Incline Bench Chest Fly,Beginner,Chest,Pectoralis Major,,,Dumbbell
Bodyweight Single Arm Push Up,Advanced,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Bodyweight
Bodyweight Aztec Push Up,Advanced,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Bodyweight
Single Arm Ring Grip Push Up,Master,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Gymnastic Rings
Bodyweight Rolling Squat Burpee,Advanced,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Bodyweight
Ring Grip Push Up,Expert,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Gymnastic Rings
Suspension Low Row,Beginner,Back,Latissimus Dorsi,,,Suspension Trainer
Suspension Mid Row,Beginner,Back,Latissimus Dorsi,,,Suspension Trainer
Suspension Face Pull,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Suspension Trainer
Cable V Grip Seated Low Row,Beginner,Back,Latissimus Dorsi,,,Cable
Landmine V Grip Row,Novice,Back,Latissimus Dorsi,,,Landmine
Single Arm Landmine Row,Novice,Back,Latissimus Dorsi,,,Landmine
Slider Single Arm Kettlebell Suitcase Ipsilateral Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders
Slider Single Arm Kettlebell Front Rack Contralateral Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders
Superband Assisted Bar Wide Grip Pull Up,Novice,Back,Latissimus Dorsi,,,Superband
Resistance Band Half Kneeling Face Pull,Beginner,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Resistance Band
Single Arm Dumbbell Single Leg Contralateral Bent Over Row,Intermediate,Back,Latissimus Dorsi,Rhomboids,Posterior Deltoids,Dumbbell
Stability Ball Prone Cobra,Novice,Back,Erector Spinae,,,Stability Ball
Bodyweight Prone Cobra,Beginner,Back,Erector Spinae,,,Bodyweight
Double Dumbbell Pendlay Row,Novice,Back,Latissimus Dorsi,,,Dumbbell
Double Dumbbell Single Leg Bent Over Row,Intermediate,Back,Latissimus Dorsi,Rhomboids,Posterior Deltoids,Dumbbell
Cable Straight Bar Pullover,Novice,Back,Latissimus Dorsi,,,Cable
Single Arm Dumbbell Bird Dog Row,Intermediate,Back,Latissimus Dorsi,Rectus Abdominis,,Dumbbell
Single Arm Cable Half Kneeling Lat Pulldown,Novice,Back,Latissimus Dorsi,,,Cable
Single Arm Cable Half Kneeling Low Row,Novice,Back,Latissimus Dorsi,,,Cable
Single Arm Suspension Low Row,Novice,Back,Latissimus Dorsi,Biceps Brachii,,Suspension Trainer
Single Arm Dumbbell Suitcase Deadlift,Novice,Back,Latissimus Dorsi,Obliques,,Dumbbell
Slider Single Arm Kettlebell Front Rack Ipsilateral Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders
Double Dumbbell Incline Bench Prone Row,Novice,Back,Latissimus Dorsi,,,Dumbbell
Ring Archer Pull Up,Advanced,Back,Latissimus Dorsi,,,Gymnastic Rings
Double Dumbbell Renegade Row,Intermediate,Back,Latissimus Dorsi,,,Dumbbell
Barbell Conventional Deadlift,Novice,Back,Latissimus Dorsi,,,Barbell
Barbell Sumo Deadlift,Novice,Back,Latissimus Dorsi,Gluteus Maximus,Biceps Femoris,Barbell
Barbell Rack Pull,Novice,Back,Latissimus Dorsi,,,Barbell
Barbell Snatch Grip Deadlift,Intermediate,Back,Latissimus Dorsi,,,Barbell
Barbell Pendlay Row,Novice,Back,Latissimus Dorsi,,,Barbell
Stability Ball Hyperextension,Novice,Back,Erector Spinae,,,Stability Ball
Barbell Seated Good Morning,Intermediate,Back,Erector Spinae,,,Barbell
Barbell Good Morning,Intermediate,Back,Erector Spinae,,,Barbell
Bodyweight Wall Sit,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight
Bodyweight Wall Slide Squat,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight
Stability Ball Wall Slide Squat,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Stability Ball
Suspension Squat,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Suspension Trainer
Suspension Alternating Reverse Lunge,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Suspension Trainer
Bodyweight Squat to Bench,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight
Bodyweight Squat,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight
Bodyweight Hand Assisted Split Squat,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight
Bodyweight Walking Lunge,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight
Dumbbell Goblet Squat,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Miniband Romanian Deadlift,Beginner,Hamstrings,Biceps Femoris,Gluteus Maximus,,Miniband
Superband Resisted Skater Jump,Intermediate,Abductors,Gluteus Medius,Gluteus Maximus,,Superband
Cable Prone Single Leg Hamstring Curl,Beginner,Hamstrings,Biceps Femoris,Gluteus Maximus,,Cable
Bodyweight Candlestick Roll Up Tuck Jump,Intermediate,Glutes,Gluteus Maximus,,,Bodyweight
Barbell Bench Press,Novice,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Barbell
Barbell Bicep Curl,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Barbell
Barbell Block Pull Deadlift,Novice,Back,Latissimus Dorsi,,,Barbell
Barbell Box Back Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Barbell Deficit Deadlift,Intermediate,Back,Latissimus Dorsi,,,Barbell
Barbell Front Rack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Barbell Glute Bridge,Novice,Glutes,Gluteus Maximus,,,Barbell
Barbell Halting Deadlift,Novice,Back,Latissimus Dorsi,,,Barbell
Barbell High Bar Back Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Barbell Low Bar Back Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell
Barbell Overhead Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell
Barbell Power Clean,Expert,Glutes,Gluteus Maximus,Biceps Femoris,,Barbell
Barbell Power Snatch,Expert,Glutes,Gluteus Maximus,Anterior Deltoids,,Barbell
Barbell Push Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell
