Exercise,Difficulty Level,Target Muscle Group,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment
Slider Single Arm Clubbell Order Contralateral Lateral Lunge,Novice,Adductors,Adductor Magnus,,,Sliders
Slider Single Arm Clubbell Order Ipsilateral Lateral Lunge,Novice,Adductors,Adductor Magnus,,,Sliders
Slider Macebell Order Lateral Lunge,Novice,Adductors,Adductor Magnus,,,Sliders
Slider Single Arm Macebell Order Contralateral Lateral Lunge,Novice,Adductors,Adductor Magnus,,,Sliders
Slider Single Arm Macebell Order Ipsilateral Lateral Lunge,Novice,Adductors,Adductor Magnus,,,Sliders
Stability Ball Miniband Feet Elevated Glute Bridge,Novice,Glutes,Gluteus Maximus,,,Stability Ball
Stability Ball Frog Reverse Hyperextension,Novice,Glutes,Gluteus Maximus,,,Stability Ball
Stability Ball Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Stability Ball
Double Dumbbell Suitcase Bulgarian Split Squat Jump,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Slider Suspension Reverse Lunge,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders
Slider Bulgarian Bag Back Rack Lateral Lunge,Novice,Adductors,Adductor Magnus,,,Sliders
Slider Sandbag Front Rack Lateral Lunge,Novice,Adductors,Adductor Magnus,,,Sliders
Slider Sandbag Back Rack Lateral Lunge,Novice,Adductors,Adductor Magnus,,,Sliders
Miniband Ankle Monster Walk,Novice,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband
Slider Landmine Goblet Lateral Lunge,Novice,Adductors,Adductor Magnus,,,Sliders
Slider Landmine Low Hold Lateral Lunge,Novice,Adductors,Adductor Magnus,,,Sliders
Slider Single Arm Kettlebell Front Rack Contralateral Lateral Lunge,Novice,Adductors,Adductor Magnus,,,Sliders
Slider Single Arm Kettlebell Front Rack Ipsilateral Lateral Lunge,Novice,Adductors,Adductor Magnus,,,Sliders
Slider Single Arm Kettlebell Bottoms Up Front Rack Contralateral Lateral Lunge,Intermediate,Adductors,Adductor Magnus,,,Sliders
Slider Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Lateral Lunge,Intermediate,Adductors,Adductor Magnus,,,Sliders
Slider Single Arm Kettlebell Overhead Contralateral Lateral Lunge,Intermediate,Adductors,Adductor Magnus,,,Sliders
Slider Single Arm Kettlebell Overhead Ipsilateral Lateral Lunge,Intermediate,Adductors,Adductor Magnus,,,Sliders
Slider Single Arm Kettlebell Bottoms Up Overhead Contralateral Lateral Lunge,Advanced,Adductors,Adductor Magnus,,,Sliders
Slider Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Lateral Lunge,Advanced,Adductors,Adductor Magnus,,,Sliders
Slider Single Arm Kettlebell Low Hold Contralateral Lateral Lunge,Novice,Adductors,Adductor Magnus,,,Sliders
Slider Plate Overhead Lateral Lunge,Intermediate,Adductors,Adductor Magnus,,,Sliders
Slider Plate Overhead Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders
Single Arm Macebell Mill to Reverse Mill,Advanced,Shoulders,Posterior Deltoids,Rectus Abdominis,,Macebell
Single Arm Dumbbell Sots Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell
Double Dumbbell Sots Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell
Alternating Double Dumbbell Sots Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell
Double Dumbbell Seesaw Sots Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell
Double Dumbbell Hang Snatch,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids,,Dumbbell
Single Arm Dumbbell Hang Snatch,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids,,Dumbbell
Alternating Single Arm Dumbbell Hang Snatch,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids,,Dumbbell
Miniband Kneeling Side Plank Clamshell,Novice,Glutes,Gluteus Maximus,Gluteus Medius,Gluteus Minimus,Miniband
Miniband Thigh Side Plank Hip Abduction,Novice,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband
Stability Ball Feet Elevated Russian Twist,Novice,Abdominals,Obliques,Rectus Abdominis,,Stability Ball
Bodyweight Alternating Single Leg V Up,Novice,Abdominals,Rectus Abdominis,,,Bodyweight
Battle Rope Alternating Lateral Lunge Alternating Wave,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Biceps Brachii,Battle Ropes
Alternating Single Arm Macebell Mill,Advanced,Shoulders,Posterior Deltoids,Rectus Abdominis,,Macebell
Alternating Single Arm Macebell Reverse Mill,Advanced,Shoulders,Posterior Deltoids,Rectus Abdominis,,Macebell
Plate Hip Thrust,Beginner,Glutes,Gluteus Maximus,,,Weight Plate
Suspension Single Leg Standing Bent Knee Mid Row,Intermediate,Back,Latissimus Dorsi,,,Suspension Trainer
Suspension Single Leg Foot Elevated Glute Bridge,Intermediate,Glutes,Gluteus Maximus,,,Suspension Trainer
Tire Single Leg Foot Elevated Glute Bridge,Intermediate,Glutes,Gluteus Maximus,,,Tire
Suspension Single Leg Standing Bent Knee Low Row,Intermediate,Back,Latissimus Dorsi,,,Suspension Trainer
Suspension Sissy Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Suspension Trainer
Single Arm Suspension Rotational Row,Intermediate,Back,Latissimus Dorsi,Biceps Brachii,,Suspension Trainer
Alternating Double Indian Club Outer Heart Shaped Swing,Intermediate,Shoulders,Posterior Deltoids,,,Indian Club
Double Indian Club Parallel Swing,Intermediate,Shoulders,Posterior Deltoids,,,Indian Club
Bulgarian Bag Back Rack Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bulgarian Bag
Bulgarian Bag Dead Squat Clean,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bulgarian Bag
Ring Archer Row,Novice,Shoulders,Posterior Deltoids,,,Gymnastic Rings
Suspension Feet Elevated Decline Push Up,Intermediate,Chest,Pectoralis Major,Triceps Brachii,,Suspension Trainer
Bodyweight Hand Assisted Pistol Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight
Double Kettlebell Suitcase Alternating Curtsy Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Double Kettlebell Overhead Alternating Curtsy Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Double Kettlebell Bottoms Up Front Rack Alternating Curtsy Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Double Kettlebell Bottoms Up Overhead Alternating Curtsy Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Single Arm Kettlebell Front Rack Alternating Curtsy Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Single Arm Kettlebell Suitcase Alternating Curtsy Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Single Arm Kettlebell Overhead Alternating Curtsy Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Single Arm Kettlebell Bottoms Up Overhead Alternating Curtsy Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Single Arm Kettlebell Bottoms Up Front Rack Alternating Curtsy Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Double Dumbbell Front Rack Alternating Curtsy Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Double Dumbbell Suitcase Alternating Curtsy Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
